obs_id,osm_url
314452029,https://www.openstreetmap.org/node/554797517
313664136,https://www.openstreetmap.org/node/687085076
313529437,https://www.openstreetmap.org/node/12820904681
313096580,https://www.openstreetmap.org/node/2578570938
311636171,https://www.openstreetmap.org/node/3270091965
311258677,https://www.openstreetmap.org/node/12820904681
310860840,https://www.openstreetmap.org/node/5595234842
310459487,https://www.openstreetmap.org/node/13892574683
309356714,https://www.openstreetmap.org/node/455984558
309203686,https://www.openstreetmap.org/node/4565394685
309013438,https://www.openstreetmap.org/node/7279675035
308386832,https://www.openstreetmap.org/node/10034072371
308195686,https://www.openstreetmap.org/node/13767284443
308165622,https://www.openstreetmap.org/node/7161353478
307949461,https://www.openstreetmap.org/node/1259587250
307259406,https://www.openstreetmap.org/node/9248793464
306534868,https://www.openstreetmap.org/node/4472974820
304661291,https://www.openstreetmap.org/node/12035707220
304448754,https://www.openstreetmap.org/node/4472974820
304255482,https://www.openstreetmap.org/node/13892554799
304086912,https://www.openstreetmap.org/node/10819574159
303830638,https://www.openstreetmap.org/node/13892536456
301905097,https://www.openstreetmap.org/node/13543695257
301186204,https://www.openstreetmap.org/node/13261473099
300169855,https://www.openstreetmap.org/node/13017839628
299880763,https://www.openstreetmap.org/node/7418159431
299729076,https://www.openstreetmap.org/node/8891038209
297251880,https://www.openstreetmap.org/node/13892536456
296906001,https://www.openstreetmap.org/node/8344369744
296866457,https://www.openstreetmap.org/node/1500151302
295973362,https://www.openstreetmap.org/node/13298360764
295430026,https://www.openstreetmap.org/node/5595234842
294319856,https://www.openstreetmap.org/node/13775694719
294126698,https://www.openstreetmap.org/node/13775694719
293680877,https://www.openstreetmap.org/node/4565394685
293351196,https://www.openstreetmap.org/node/1419409788
293240660,https://www.openstreetmap.org/node/3244460373
292961484,https://www.openstreetmap.org/node/12954985321
292927641,https://www.openstreetmap.org/node/1259587250
292734469,https://www.openstreetmap.org/node/1721577600
292020527,https://www.openstreetmap.org/node/676026140
290991331,https://www.openstreetmap.org/node/1259587250
290471121,https://www.openstreetmap.org/node/3485216425
288282097,https://www.openstreetmap.org/node/2769312531
286321013,https://www.openstreetmap.org/node/10844452366
286200366,https://www.openstreetmap.org/node/6689054985
285524855,https://www.openstreetmap.org/node/2769312531
285231935,https://www.openstreetmap.org/node/4565394685
284799941,https://www.openstreetmap.org/node/1259587250
283972349,https://www.openstreetmap.org/node/1259587250
283620920,https://www.openstreetmap.org/node/4313659083
282317385,https://www.openstreetmap.org/node/10796816743
281800529,https://www.openstreetmap.org/node/9922802696
280757116,https://www.openstreetmap.org/node/13892536456
279494924,https://www.openstreetmap.org/node/1259587250
278790024,https://www.openstreetmap.org/node/4472974820
278150080,https://www.openstreetmap.org/node/7161353478
277019942,https://www.openstreetmap.org/node/8344369744
276800564,https://www.openstreetmap.org/node/1721577600
275937578,https://www.openstreetmap.org/node/902496218
275347130,https://www.openstreetmap.org/node/6832096587
274246831,https://www.openstreetmap.org/node/8344369744
274060010,https://www.openstreetmap.org/node/10911564739
272434907,https://www.openstreetmap.org/node/5595234842
